track_id,language,cluster_vae,cluster_pca
A001,unknown,3,4
A002,unknown,4,2
A003,unknown,3,0
A004,unknown,3,4
A005,unknown,4,2
A010,unknown,1,3
A011,unknown,4,2
A013,unknown,4,2
A014,unknown,1,3
A017,unknown,2,1
A018,unknown,3,4
A019,unknown,4,2
A020,unknown,4,2
A021,unknown,0,0
A022,unknown,4,2
A023,unknown,1,3
A024,unknown,1,3
A025,unknown,4,2
A028,unknown,1,3
A029,unknown,4,2
A030,unknown,3,0
A032,unknown,3,4
A034,unknown,0,0
A035,unknown,4,2
A038,unknown,2,3
A039,unknown,4,2
A042,unknown,2,1
A043,unknown,5,5
A045,unknown,4,4
A047,unknown,4,2
A048,unknown,3,0
A049,unknown,1,3
A050,unknown,0,0
A051,unknown,2,1
A052,unknown,1,3
A055,unknown,4,2
A058,unknown,3,4
A060,unknown,3,4
A061-66,unknown,5,5
A062-170,unknown,1,3
A063-90,unknown,4,2
A064-116,unknown,4,2
A066-140,unknown,0,0
A067-104,unknown,0,0
A068-167,unknown,1,3
A071-70,unknown,2,1
A073-143,unknown,0,0
A074-91,unknown,1,3
A077-122,unknown,2,1
A078-173,unknown,4,2
A080-92,unknown,1,3
A081-67,unknown,3,4
A082-93,unknown,1,3
A083-158,unknown,3,4
A084-75,unknown,0,0
A085-69,unknown,5,5
A086-123,unknown,1,3
A087-165,unknown,4,2
A088-136,unknown,0,0
A090-94,unknown,4,2
A091-95,unknown,1,3
A092-96,unknown,2,1
A094-110,unknown,4,2
A095-113,unknown,4,2
A096-68,unknown,5,5
A097-152,unknown,3,4
A098-154,unknown,3,0
A100-124,unknown,2,1
A101-111,unknown,4,2
A102-114,unknown,0,2
A103-99,unknown,1,3
A104-119,unknown,1,3
A105-117,unknown,0,0
A106-100,unknown,4,4
A107-115,unknown,4,2
A109-138,unknown,4,2
A111-141,unknown,3,4
A114-120,unknown,4,2
A115-84,unknown,4,2
A116-135,unknown,4,2
A117-76,unknown,5,1
A119-151,unknown,4,2
A120-168,unknown,3,0
A126-77,unknown,3,4
A127-133,unknown,1,3
A128-109,unknown,4,2
A130-162,unknown,4,2
A131-101,unknown,0,0
A132-121,unknown,1,3
A134-142,unknown,3,0
A136-97,unknown,2,1
A137-153,unknown,4,2
A140-166,unknown,1,3
A141-139,unknown,4,2
A142-98,unknown,1,3
A143-72,unknown,5,5
A145-134,unknown,0,0
A146-118,unknown,4,0
A147-169,unknown,1,3
A148-102,unknown,2,1
A150-132,unknown,1,2
A151-172,unknown,3,5
A152-108,unknown,4,2
A153-130,unknown,4,2
A157-71,unknown,3,5
A159-164,unknown,4,2
A160-149,unknown,4,2
A162,unknown,0,0
A165,unknown,3,0
A166,unknown,4,2
A167,unknown,4,2
A168,unknown,4,2
A170,unknown,4,2
A171,unknown,3,4
A172,unknown,1,3
A174,unknown,4,2
A176,unknown,1,3
A177,unknown,1,3
A178,unknown,4,2
A179,unknown,0,0
A182,unknown,0,0
A183,unknown,1,3
A186,unknown,0,0
A187,unknown,1,2
A188,unknown,5,5
A190,unknown,5,5
A191,unknown,5,5
A192,unknown,4,2
A193,unknown,0,0
A194,unknown,1,3
A195,unknown,3,4
A196,unknown,4,2
A198,unknown,3,4
MT0000004637,unknown,3,4
MT0000008995,english,3,5
MT0000010219,unknown,3,5
MT0000010844,unknown,4,2
MT0000011357,english,2,1
MT0000011975,unknown,1,3
MT0000022993,unknown,4,2
MT0000026571,english,3,4
MT0000027422,english,2,1
MT0000027476,unknown,3,4
MT0000030834,english,5,5
MT0000031210,english,3,4
MT0000038502,english,1,3
MT0000040632,unknown,4,2
MT0000040773,english,3,4
MT0000042939,english,1,3
MT0000043184,english,3,0
MT0000044741,english,4,2
MT0000045345,english,0,0
MT0000048600,english,4,2
MT0000054705,unknown,4,2
MT0000059269,english,5,5
MT0000060906,unknown,0,0
MT0000062500,unknown,5,5
MT0000063684,english,4,2
MT0000066236,english,2,1
MT0000066421,english,0,0
MT0000068300,unknown,3,4
MT0000069357,unknown,4,2
MT0000074128,unknown,0,0
MT0000080053,english,5,5
MT0000082188,english,5,5
MT0000086233,unknown,3,5
MT0000088320,unknown,4,2
MT0000089238,english,1,3
MT0000089410,english,0,5
MT0000091401,english,2,1
MT0000091781,english,4,2
MT0000092267,unknown,0,0
MT0000092637,english,3,0
MT0000093583,english,5,5
MT0000095414,english,0,0
MT0000097008,unknown,4,2
MT0000097948,english,3,4
MT0000098581,unknown,3,4
MT0000103049,english,5,5
MT0000103874,english,2,1
MT0000104363,unknown,4,2
MT0000105192,unknown,3,4
MT0000105492,english,0,0
MT0000109716,unknown,1,3
MT0000110175,unknown,4,2
MT0000113311,unknown,4,2
MT0000117176,english,3,4
MT0000119701,english,3,4
MT0000119987,english,4,2
MT0000123853,unknown,0,0
MT0000124779,english,4,0
MT0000128573,english,3,4
MT0000133200,english,1,3
MT0000135916,english,3,5
MT0000144160,english,4,2
MT0000145509,english,4,2
MT0000146284,english,3,0
MT0000146966,english,1,3
MT0000147182,english,4,0
MT0000151451,english,4,2
MT0000151529,english,4,4
MT0000153970,unknown,0,0
MT0000161127,unknown,4,2
MT0000162219,english,4,2
MT0000164441,english,3,4
MT0000169174,english,1,3
MT0000169836,english,0,0
MT0000171421,english,4,2
MT0000171852,english,5,5
MT0000174580,english,4,2
MT0000175597,english,3,4
MT0000177451,unknown,3,0
MT0000177878,english,5,5
MT0000185453,english,3,0
MT0000185601,english,4,2
MT0000186467,english,1,3
MT0000190640,english,1,3
MT0000192015,unknown,3,4
MT0000192913,english,4,2
MT0000192982,english,4,2
MT0000195705,english,3,4
MT0000197431,english,5,1
MT0000202045,english,0,2
MT0000203193,unknown,4,2
MT0000203272,unknown,2,1
MT0000204016,unknown,4,4
MT0000213542,unknown,4,2
MT0000214287,english,3,4
MT0000216849,english,1,3
MT0000218346,english,4,2
MT0000222773,unknown,3,4
MT0000225806,english,4,2
MT0000231442,english,1,3
MT0000231784,english,0,0
MT0000235880,unknown,2,1
MT0000245808,english,0,0
MT0000249842,unknown,4,2
MT0000252574,english,4,2
MT0000255724,english,4,2
MT0000258223,english,3,4
MT0000258646,english,2,1
MT0000265621,english,2,4
MT0000268576,english,4,2
MT0000270200,english,2,1
MT0000271454,english,4,2
MT0000271970,english,1,3
MT0000272906,unknown,1,3
MT0000273374,english,5,5
MT0000277032,english,3,4
MT0000277633,english,3,5
MT0000283043,english,4,2
MT0000287606,english,3,4
MT0000287921,english,1,3
MT0000289116,english,5,5
MT0000292000,english,4,2
MT0000293345,english,0,0
MT0000299291,english,4,2
MT0000300896,unknown,3,4
MT0000302038,unknown,4,2
MT0000310204,english,4,2
MT0000312152,english,2,4
MT0000315363,english,4,2
MT0000315392,english,4,2
MT0000316110,english,1,3
MT0000317770,unknown,0,0
MT0000318206,english,1,3
MT0000318279,english,3,4
MT0000320757,english,4,2
MT0000321394,english,1,3
MT0000321824,english,0,0
MT0000325093,english,4,2
MT0000335310,english,3,0
MT0000336135,unknown,4,0
MT0000344141,unknown,0,0
MT0000348553,english,4,2
MT0000348835,unknown,4,2
MT0000353361,english,4,2
MT0000357325,unknown,3,4
MT0000364027,unknown,4,2
MT0000369188,english,0,0
MT0000370694,english,3,4
MT0000377411,unknown,1,3
MT0000379144,unknown,4,2
MT0000380307,english,3,4
MT0000380971,english,3,4
MT0000381928,unknown,2,1
MT0000391566,english,1,3
MT0000392975,unknown,3,0
MT0000398595,english,0,0
MT0000400490,unknown,4,2
MT0000401186,unknown,0,0
MT0000401600,unknown,1,3
MT0000408441,english,3,4
MT0000409922,english,4,0
MT0000413173,unknown,3,4
MT0000414517,unknown,4,2
MT0000419956,english,2,1
MT0000421504,english,3,4
MT0000425270,english,1,3
MT0000426771,unknown,4,2
MT0000426880,english,0,0
MT0000434716,unknown,3,4
MT0000436815,english,4,2
MT0000441552,english,4,3
MT0000442827,unknown,4,2
MT0000446304,english,4,0
MT0000447539,english,3,4
MT0000456939,english,1,3
MT0000460427,unknown,3,0
MT0000460480,english,3,4
MT0000463371,english,1,3
MT0000475876,english,0,5
MT0000481003,unknown,5,1
MT0000481304,english,2,1
MT0000483039,unknown,0,0
MT0000487439,english,3,0
MT0000495176,unknown,1,3
MT0000497520,english,0,0
MT0000515256,english,3,4
MT0000518591,english,4,2
MT0000522450,unknown,4,2
MT0000522789,unknown,4,4
MT0000522938,unknown,4,3
MT0000523576,english,4,2
MT0000524741,unknown,0,0
MT0000526302,english,3,4
MT0000526867,english,3,0
MT0000534539,english,3,4
MT0000540286,english,5,5
MT0000546446,english,4,2
MT0000547065,english,1,2
MT0000549945,english,3,4
MT0000550961,english,3,0
MT0000553622,english,0,0
MT0000556349,english,3,4
MT0000562195,unknown,1,3
MT0000567692,english,3,4
MT0000570966,english,4,2
MT0000573766,unknown,1,3
MT0000576231,unknown,1,3
MT0000581530,unknown,0,0
MT0000595581,unknown,3,4
MT0000599398,english,3,4
MT0000603187,english,1,3
MT0000603561,english,3,4
MT0000604234,english,4,2
MT0000615489,english,4,2
MT0000619767,english,4,2
MT0000620635,unknown,3,4
MT0000621840,english,4,2
MT0000630628,english,1,3
MT0000631491,unknown,3,4
MT0000633351,english,5,5
MT0000636335,unknown,4,0
MT0000638424,english,3,4
MT0000638634,english,4,2
MT0000642549,unknown,1,3
MT0000643201,english,4,2
MT0000647818,english,4,2
MT0000652082,english,4,2
MT0000661250,english,5,5
MT0000661847,english,0,0
MT0000664362,english,1,3
MT0000666429,english,1,3
MT0000670865,english,4,2
MT0000672880,english,4,2
MT0000682947,unknown,1,3
MT0000685324,english,0,0
MT0000685538,english,3,4
MT0000685552,english,4,2
MT0000688115,english,0,5
MT0000688312,english,4,2
MT0000694316,english,2,1
MT0000698081,unknown,3,0
MT0000704913,english,2,1
MT0000707663,english,4,2
MT0000710146,unknown,3,0
MT0000711493,unknown,4,2
MT0000712071,english,4,2
MT0000712316,unknown,1,3
MT0000714708,english,0,0
MT0000716124,unknown,4,2
MT0000720686,english,4,2
MT0000721873,english,0,0
MT0000723464,english,0,0
MT0000724357,english,0,0
MT0000727738,english,0,0
MT0000729701,unknown,1,3
MT0000732206,unknown,3,4
MT0000732821,unknown,0,0
MT0000734482,english,5,5
MT0000735056,english,1,3
MT0000737624,unknown,1,2
MT0000737807,unknown,4,2
MT0000741489,english,1,3
MT0000744293,english,1,3
MT0000746822,unknown,0,0
MT0000747666,english,0,0
MT0000753074,english,3,0
MT0000754511,english,4,2
MT0000762097,english,3,5
MT0000763275,english,3,0
MT0000764951,english,3,4
MT0000766316,english,2,1
MT0000772749,unknown,3,4
MT0000773391,unknown,4,0
MT0000775053,english,4,0
MT0000776108,english,3,4
MT0000778102,english,0,0
MT0000780401,english,4,2
MT0000783307,english,1,3
MT0000789330,english,1,3
MT0000793161,unknown,3,0
MT0000796526,unknown,3,5
MT0000805883,unknown,0,0
MT0000807741,english,2,4
MT0000808227,english,1,3
MT0000811092,english,5,5
MT0000811743,english,3,0
MT0000821772,unknown,0,0
MT0000825920,english,3,4
MT0000826010,unknown,4,2
MT0000829531,english,4,2
MT0000829765,english,3,0
MT0000832464,english,0,0
MT0000834505,unknown,1,3
MT0000848769,english,4,4
MT0000850050,english,0,0
MT0000850957,english,2,1
MT0000851865,english,4,2
MT0000852582,english,1,3
MT0000853072,english,3,4
MT0000854722,english,0,0
MT0000857091,unknown,1,3
MT0000863232,english,2,4
MT0000863543,english,4,2
MT0000865478,unknown,4,2
MT0000871290,english,4,2
MT0000874482,english,1,3
MT0000875199,english,4,2
MT0000875520,english,4,2
MT0000886390,english,3,0
MT0000886723,unknown,0,0
MT0000888329,english,0,0
MT0000889229,english,5,5
MT0000892306,english,1,3
MT0000895003,english,2,1
MT0000895905,english,3,5
MT0000897883,unknown,1,3
MT0000900387,english,0,0
MT0000900995,english,5,5
MT0000901959,english,4,2
MT0000903225,english,4,2
MT0000906888,english,3,4
MT0000910270,english,1,3
MT0000913916,unknown,4,0
MT0000920227,english,5,5
MT0000922312,unknown,5,5
MT0000927561,english,1,3
MT0000931402,english,0,0
MT0000934613,english,1,3
MT0000936370,unknown,0,0
MT0000941301,unknown,4,2
MT0000945118,unknown,3,0
MT0000948111,english,3,4
MT0000949813,unknown,5,5
MT0000950090,english,4,0
MT0000954088,english,2,1
MT0000956340,english,4,2
MT0000971834,unknown,1,3
MT0000972004,unknown,1,3
MT0000973218,unknown,1,3
MT0000975216,unknown,4,2
MT0000980148,unknown,4,2
MT0000982297,unknown,4,2
MT0000984023,english,1,3
MT0000987523,unknown,4,2
MT0000992846,english,1,3
MT0000997306,unknown,2,1
MT0001016068,english,3,4
MT0001020011,english,3,4
MT0001026170,unknown,5,5
MT0001030436,english,3,4
MT0001032211,english,4,2
MT0001035786,unknown,1,2
MT0001042055,english,4,2
MT0001043721,english,4,2
MT0001051344,unknown,4,2
MT0001052263,unknown,0,0
MT0001053268,english,0,2
MT0001053762,unknown,1,3
MT0001057748,unknown,5,5
MT0001058887,english,4,2
MT0001062700,english,3,0
MT0001062974,unknown,1,3
MT0001068364,unknown,0,5
MT0001069996,unknown,4,2
MT0001082164,unknown,4,2
MT0001084055,unknown,3,4
MT0001084444,unknown,5,1
MT0001094338,unknown,5,5
MT0001095298,english,2,1
MT0001098562,unknown,5,5
MT0001101467,english,0,0
MT0001102610,english,4,2
MT0001104467,english,0,0
MT0001104727,unknown,4,2
MT0001106114,english,4,2
MT0001108070,unknown,0,5
MT0001109401,english,4,2
MT0001115644,english,4,2
MT0001116511,english,1,3
MT0001117815,english,4,2
MT0001121577,english,0,0
MT0001133011,unknown,2,1
MT0001134958,english,3,4
MT0001135075,unknown,4,2
MT0001137053,english,5,5
MT0001144930,english,4,2
MT0001152165,english,4,0
MT0001152664,english,4,0
MT0001153847,english,1,3
MT0001156310,unknown,3,4
MT0001157069,english,3,5
MT0001168323,english,3,0
MT0001169715,english,4,2
MT0001183783,english,3,0
MT0001189913,english,0,0
MT0001193202,english,1,3
MT0001193331,english,4,2
MT0001193971,english,4,2
MT0001194164,english,4,2
MT0001195535,english,3,4
MT0001202986,english,4,2
MT0001217651,english,4,2
MT0001227219,english,4,2
MT0001230193,english,1,3
MT0001230298,english,3,0
MT0001234946,unknown,4,2
MT0001236649,unknown,4,2
MT0001243097,english,3,4
MT0001243566,unknown,4,2
MT0001253889,unknown,0,0
MT0001256033,english,1,3
MT0001265984,english,4,2
MT0001266436,english,3,0
MT0001267997,english,4,4
MT0001276044,english,1,3
MT0001277283,english,4,2
MT0001284282,english,4,2
MT0001284801,english,3,5
MT0001287647,english,1,3
MT0001289749,unknown,4,3
MT0001292451,english,3,4
MT0001297031,english,3,4
MT0001298241,english,4,2
MT0001301827,english,3,5
MT0001302466,unknown,4,2
MT0001305231,unknown,0,0
MT0001305550,english,5,5
MT0001308506,unknown,4,2
MT0001309422,english,4,2
MT0001313815,english,4,2
MT0001318718,english,4,2
MT0001321861,english,4,2
MT0001323755,english,0,2
MT0001323890,unknown,2,4
MT0001328889,unknown,4,2
MT0001331047,english,3,5
MT0001332899,english,4,2
MT0001333258,unknown,4,2
MT0001335920,english,4,2
MT0001339839,unknown,1,3
MT0001340527,unknown,0,0
MT0001340713,unknown,0,0
MT0001347462,english,3,4
MT0001353828,english,0,0
MT0001356476,english,4,2
MT0001356637,english,1,3
MT0001361436,english,1,3
MT0001362313,english,4,2
MT0001368531,english,4,0
MT0001369981,english,3,4
MT0001370627,english,3,4
MT0001372070,english,4,2
MT0001376988,english,4,2
MT0001377616,english,4,2
MT0001377742,english,1,3
MT0001380360,english,1,3
MT0001383277,english,1,3
MT0001385947,english,4,2
MT0001391154,unknown,4,2
MT0001394087,unknown,0,0
MT0001395462,english,3,4
MT0001397431,english,4,2
MT0001404677,english,3,4
MT0001415729,unknown,1,3
MT0001417252,unknown,4,2
MT0001418045,unknown,4,2
MT0001419145,unknown,4,2
MT0001435061,english,3,4
MT0001436086,english,5,5
MT0001438043,unknown,3,0
MT0001440624,unknown,3,4
MT0001453285,english,3,5
MT0001459810,unknown,0,0
MT0001463745,unknown,0,0
MT0001472536,unknown,4,2
MT0001473110,english,5,1
MT0001473158,english,3,4
MT0001474073,unknown,4,2
MT0001477169,english,3,4
MT0001486960,english,4,4
MT0001494267,unknown,0,0
MT0001494812,english,4,2
MT0001497191,unknown,4,2
MT0001497786,english,5,5
MT0001504929,unknown,0,0
MT0001509368,english,4,2
MT0001509615,english,4,2
MT0001510617,english,1,3
MT0001511433,english,3,4
MT0001514284,english,1,2
MT0001515028,english,0,0
MT0001515531,unknown,4,2
MT0001518335,english,5,5
MT0001520918,unknown,1,3
MT0001521543,english,4,2
MT0001523435,english,3,4
MT0001526386,unknown,3,4
MT0001526514,english,4,2
MT0001528638,english,3,4
MT0001531856,english,4,2
MT0001531906,english,0,2
MT0001533920,unknown,3,4
MT0001542457,english,1,3
MT0001542676,unknown,0,0
MT0001547111,english,4,2
MT0001548914,unknown,3,4
MT0001553573,english,1,3
MT0001554870,english,1,3
MT0001566152,english,4,2
MT0001568638,unknown,2,1
MT0001574245,unknown,2,1
MT0001578777,english,1,3
MT0001583214,english,4,2
MT0001586807,unknown,2,1
MT0001590201,english,4,2
MT0001590644,english,1,3
MT0001593342,unknown,1,3
MT0001594582,english,3,0
MT0001595082,english,1,3
MT0001598707,unknown,4,2
MT0001605268,unknown,0,0
MT0001608499,english,2,1
MT0001609615,english,0,0
MT0001609626,unknown,1,3
MT0001610102,english,4,2
MT0001610914,unknown,1,3
MT0001613887,english,1,3
MT0001615005,english,4,2
MT0001615082,unknown,4,2
MT0001616074,unknown,4,2
MT0001624303,english,4,2
MT0001634305,english,1,3
MT0001638394,english,3,4
MT0001639011,english,4,2
MT0001641165,english,4,2
MT0001641166,unknown,1,3
MT0001641228,unknown,5,5
MT0001641430,unknown,3,4
MT0001642019,english,1,3
MT0001644811,english,2,1
MT0001646256,english,3,4
MT0001648703,english,1,3
MT0001653728,english,4,2
MT0001658982,english,3,4
MT0001661022,english,3,4
MT0001667621,unknown,3,0
MT0001671399,english,4,0
MT0001673884,english,5,5
MT0001676671,unknown,0,0
MT0001680969,unknown,3,4
MT0001696863,unknown,4,2
MT0001699798,english,2,1
MT0001701648,unknown,4,2
MT0001703346,unknown,3,4
MT0001705355,unknown,4,2
MT0001710592,english,4,2
MT0001729778,english,0,0
MT0001732928,unknown,3,5
MT0001736229,unknown,1,3
MT0001738256,english,1,3
MT0001741017,english,4,2
MT0001742519,unknown,3,4
MT0001747053,unknown,4,2
MT0001753457,unknown,0,5
MT0001757676,english,3,4
MT0001760172,unknown,3,4
MT0001765726,english,3,4
MT0001766004,english,1,3
MT0001768550,unknown,5,5
MT0001770136,english,1,3
MT0001779167,english,1,3
MT0001795697,english,2,1
MT0001798303,unknown,0,0
MT0001801454,english,0,0
MT0001810607,english,0,0
MT0001829666,english,4,2
MT0001831738,english,4,2
MT0001832838,english,4,0
MT0001835551,english,1,3
MT0001839466,english,3,4
MT0001841416,english,3,4
MT0001844620,unknown,4,2
MT0001852290,english,1,3
MT0001853221,unknown,1,3
MT0001855865,unknown,4,0
MT0001862892,english,0,0
MT0001863795,unknown,1,3
MT0001868336,unknown,3,0
MT0001870847,unknown,4,2
MT0001871732,unknown,4,2
MT0001877603,unknown,0,5
MT0001889075,english,4,2
MT0001889244,english,4,2
MT0001891229,unknown,2,1
MT0001891260,english,3,4
MT0001894368,unknown,4,4
MT0001898830,unknown,0,0
MT0001899447,english,3,0
MT0001899867,english,0,0
MT0001910188,unknown,4,2
MT0001916989,unknown,0,0
MT0001920501,english,3,4
MT0001927015,english,0,2
MT0001927474,english,0,0
MT0001927746,unknown,1,3
MT0001927921,english,2,1
MT0001929641,english,3,4
MT0001934410,english,1,3
MT0001934436,unknown,5,5
MT0001934726,english,4,2
MT0001938929,english,4,2
MT0001942272,english,4,2
MT0001943830,english,3,4
MT0001949173,english,3,4
MT0001952167,unknown,3,4
MT0001954919,english,5,5
MT0001962373,english,2,1
MT0001963447,english,1,3
MT0001967374,unknown,3,4
MT0001967655,english,4,2
MT0001972380,english,3,0
MT0001972829,english,3,0
MT0001974130,english,1,3
MT0001975228,unknown,1,3
MT0001978806,english,1,3
MT0001980613,english,0,0
MT0001982863,unknown,0,0
MT0001988811,english,3,0
MT0001989408,unknown,1,3
MT0001992879,english,1,3
MT0001993588,english,2,1
MT0001993943,unknown,2,1
MT0002006203,english,5,5
MT0002006862,english,2,4
MT0002007417,english,5,4
MT0002012491,unknown,1,3
MT0002014752,english,3,0
MT0002024101,english,1,3
MT0002024741,english,0,0
MT0002033217,unknown,3,4
MT0002033629,unknown,2,1
MT0002034238,english,0,0
MT0002050671,unknown,4,2
MT0002052101,english,2,1
MT0002053300,unknown,5,5
MT0002054074,english,1,3
MT0002057142,english,3,4
MT0002059011,unknown,1,3
MT0002060109,english,4,2
MT0002068648,english,4,2
MT0002070112,unknown,2,2
MT0002071907,unknown,1,3
MT0002078701,english,0,0
MT0002086401,unknown,3,4
MT0002087541,english,1,3
MT0002088249,english,4,2
MT0002099419,english,4,2
MT0002113056,english,3,4
MT0002119439,unknown,4,2
MT0002124238,unknown,2,1
MT0002126934,unknown,4,2
MT0002131125,english,1,3
MT0002132088,english,0,0
MT0002139311,english,4,2
MT0002142155,english,5,5
MT0002156561,unknown,0,0
MT0002161109,unknown,0,0
MT0002169629,english,1,3
MT0002177145,english,4,2
MT0002179342,english,1,2
MT0002193996,english,4,2
MT0002203952,unknown,4,4
MT0002210361,unknown,3,4
MT0002216668,english,3,4
MT0002218376,unknown,0,2
MT0002219036,unknown,3,4
MT0002219182,english,4,2
MT0002222944,english,4,2
MT0002222957,unknown,4,2
MT0002225477,english,4,2
MT0002233402,unknown,4,2
MT0002238737,english,2,3
MT0002239079,english,0,0
MT0002242128,unknown,4,4
MT0002249354,unknown,3,5
MT0002250135,english,3,4
MT0002252353,english,0,2
MT0002262181,unknown,2,1
MT0002272314,english,1,3
MT0002277261,english,4,2
MT0002291660,english,2,1
MT0002294387,english,4,2
MT0002297016,unknown,0,0
MT0002298774,english,1,3
MT0002307435,english,2,1
MT0002307493,unknown,0,0
MT0002308313,unknown,0,0
MT0002308613,unknown,0,0
MT0002316145,english,1,3
MT0002323154,unknown,0,0
MT0002325544,english,3,0
MT0002325863,unknown,4,2
MT0002327429,unknown,3,0
MT0002336535,english,5,5
MT0002337555,english,1,3
MT0002342346,english,4,2
MT0002343207,english,0,2
MT0002347246,english,4,2
MT0002349114,unknown,4,2
MT0002351905,english,3,0
MT0002355423,english,3,5
MT0002359628,english,0,0
MT0002360219,english,0,2
MT0002362108,english,4,2
MT0002366291,english,4,2
MT0002371970,english,3,0
MT0002372242,english,4,2
MT0002379222,unknown,4,2
MT0002379942,english,2,1
MT0002385077,unknown,1,3
MT0002390941,english,4,2
MT0002391847,unknown,3,4
MT0002396250,english,2,1
MT0002397625,english,0,0
MT0002399275,english,1,3
MT0002408351,unknown,5,5
MT0002415184,unknown,1,3
MT0002423836,unknown,1,3
MT0002438908,english,4,2
MT0002448379,unknown,0,5
MT0002460914,english,4,2
MT0002472723,english,2,1
MT0002472801,unknown,0,0
MT0002477987,english,3,4
MT0002479795,english,4,2
MT0002485672,english,4,2
MT0002500878,unknown,1,3
MT0002506076,unknown,0,0
MT0002510318,english,1,3
MT0002515172,english,3,5
MT0002519050,unknown,1,3
MT0002525905,unknown,3,5
MT0002532237,english,3,4
MT0002536460,unknown,2,1
MT0002538335,english,0,0
MT0002541988,english,3,5
MT0002548231,unknown,5,5
MT0002549047,english,4,0
MT0002549944,english,1,3
MT0002573253,unknown,3,0
MT0002580064,english,4,2
MT0002585767,english,5,5
MT0002591418,english,0,0
MT0002595792,english,3,4
MT0002602057,english,2,1
MT0002604697,english,4,0
MT0002619035,english,4,2
MT0002621498,english,1,3
MT0002628272,unknown,0,0
MT0002634024,english,4,2
MT0002638821,english,4,4
MT0002645049,english,1,2
MT0002653551,unknown,1,3
MT0002655864,english,4,2
MT0002659854,english,4,2
MT0002670113,unknown,4,4
MT0002672499,english,4,0
MT0002674708,unknown,3,4
MT0002675791,english,4,2
MT0002679562,unknown,3,0
MT0002698706,english,4,2
MT0002698827,english,3,4
MT0002699966,unknown,4,2
MT0002700026,english,4,2
MT0002701422,english,2,1
MT0002709704,english,1,2
MT0002711792,english,1,3
